Lang_Id,likely_subtag,LangName,script,regions,default region,unwritten,not used,areas,ISO 639-3,confirmed,Date modified,comments
aa-Ethi,aa-Ethi-ET,Afar,Ethi,ET ER DJ,ET,,,EAF,aar,LE,10-Jan-2018,
aa,aa-Latn-ET,Afar,Latn,ET ER DJ,ET,,,EAF,aar,CLDR,,
aaa-Zyyy,aaa-Zyyy-NG,Ghotuo,Zyyy,NG,NG,,,WAF,aaa,,,
aab-Zyyy,aab-Zyyy-NG,Alumu-Tesu,Zyyy,NG,NG,,,WAF,aab,,,
aac,aac-Latn-PG,Ari,Latn,PG,PG,,,MEL,aac,LE,10-Jan-2018,
aad,aad-Latn-PG,Amal,Latn,PG,PG,1,,MEL,aad,LE,10-Jan-2018,
aae-Grek,aae-Grek-IT,"Albanian, Arbëreshë",Grek,IT,IT,,1,SEU,aae,LE,9-Jan-2018,
aae,aae-Latn-IT,"Albanian, Arbëreshë",Latn,IT,IT,,,SEU,aae,LE,9-Jan-2018,
aaf-Zyyy,aaf-Zyyy-IN,Arabadan,Zyyy,IN,IN,1,,SAS,aaf,,,
aag,aag-Latn-PG,Ambrak,Latn,PG,PG,1,,MEL,aag,LE,10-Jan-2018,
aah,aah-Latn-PG,"Arapesh, Abu'",Latn,PG,PG,1,,MEL,aah,LE,10-Jan-2018,
aai,aai-Latn-PG,Miniafia Oyan,Latn,PG,PG,,,MEL,aai,LE,10-Jan-2018,
aak,aak-Latn-PG,Ankave,Latn,PG,PG,,,MEL,aak,LE,10-Jan-2018,
aal,aal-Latn-CM,Afade,Latn,CM NG,CM,,,MAF,aal,LE,12-Jan-2018,
aan,aan-Latn-BR,Anambé,Latn,BR,BR,1,,SAM,aan,LE,9-Jan-2018,
aao-Zyyy,aao-Zyyy-DZ,"Arabic, Algerian Saharan Spoken",Zyyy,DZ NE TN,DZ,,,NAF WAF,aao,,,
aap,aap-Latn-BR,"Arára, Pará",Latn,BR,BR,,,SAM,aap,LE,9-Jan-2018,
aaq,aaq-Zyyy-US,"Abenaki, Eastern",Zyyy,US,US,1,,NAM,aaq,LE,10-Jan-2018,Extinct
aas,aas-Latn-TZ,Aasáx,Latn,TZ,TZ,1,,EAF,aas,LE,9-Jan-2018,
aat,aat-Grek-GR,"Albanian, Arvanitika",Grek,GR,GR,,,SEU,aat,LE,12-Jan-2018,
aau,aau-Latn-PG,Abau,Latn,PG,PG,,,MEL,aau,LE,10-Jan-2018,
aaw,aaw-Latn-PG,Solong,Latn,PG,PG,,,MEL,aaw,LE,10-Jan-2018,
aax-Zyyy,aax-Zyyy-ID,Mandobo Atas,Zyyy,ID,ID,,,SEA,aax,,,
aaz,aaz-Latn-ID,Amarasi,Latn,ID,ID,,,SEA,aaz,LE,12-Jan-2018,
ab,ab-Cyrl-GE,Abkhaz,Cyrl,DE GE RU SY TR UA,GE,,,EEU,abk,CLDR,,
ab-Geor,ab-Geor-GE,Abkhaz,Geor,DE GE RU SY TR UA,GE,,1,EEU WAS WEU,abk,,,
aba,aba-Latn-CI,Abé,Latn,CI,CI,,,WAF,aba,LE,12-Jan-2018,
abb-Zyyy,abb-Zyyy-CM,Bankon,Zyyy,CM,CM,1,,MAF,abb,,,
abc,abc-Latn-PH,"Ayta, Ambala",Latn,PH,PH,,,SEA,abc,LE,12-Jan-2018,
abd-Zyyy,abd-Zyyy-PH,Manide,Zyyy,PH,PH,,,SEA,abd,,,
abe,abe-Latn-CA,"Abenaki, Western",Latn,CA US,CA,,,NAM,abe,LE,9-Jan-2018,
abf-Zyyy,abf-Zyyy-MY,Abai Sungai,Zyyy,MY,MY,1,,SEA,abf,,,
abg,abg-Latn-PG,Abaga,Latn,PG,PG,1,,MEL,abg,LE,10-Jan-2018,
abh,abh-Arab-TJ,"Arabic, Tajiki Spoken",Arab,AF TJ UZ,TJ,,,CAS SAS,abh,LE,12-Jan-2018,
abi,abi-Latn-CI,Abidji,Latn,CI,CI,,,WAF,abi,LE,12-Jan-2018,
abj-Zyyy,abj-Zyyy-IN,Aka-Bea,Zyyy,IN,IN,,,SAS,abj,,,Extinct
abl-Rjng,abl-Rjng-ID,Lampung Nyo,Rjng,ID,ID,,,SEA,abl,,,
abm-Zyyy,abm-Zyyy-NG,Abanyom,Zyyy,NG,NG,1,,WAF,abm,,,
abn,abn-Latn-NG,Abua,Latn,NG,NG,,,WAF,abn,LE,12-Jan-2018,
abo-Zyyy,abo-Zyyy-NG,Abon,Zyyy,NG,NG,,,WAF,abo,,,
abp,abp-Latn-PH,"Ayta, Abellen",Latn,PH,PH,,,SEA,abp,LE,12-Jan-2018,
abq-Cyrl,abq-Cyrl-RU,Abaza,Cyrl,RU TR,RU,,,EEU WAS,abq,,,
abq-Latn,abq-Latn-TR,Abaza,Latn,RU TR,TR,,,EEU WAS,abq,,,
abr,abr-Latn-GH,Abron,Latn,CI GH,GH,,,WAF,abr,CLDR,,
abs,abs-Latn-ID,"Malay, Ambonese",Latn,ID NL US,ID,,,NAM SEA WEU,abs,LE,12-Jan-2018,
abt,abt-Latn-PG,Ambulas,Latn,PG,PG,,,MEL,abt,LE,10-Jan-2018,
abu,abu-Latn-CI,Abure,Latn,CI,CI,,,WAF,abu,LE,12-Jan-2018,
abv,abv-Arab-BH,"Arabic, Baharna Spoken",Arab,BH OM,BH,,,WAS,abv,LE,12-Jan-2018,
abw,abw-Latn-PG,Pal,Latn,PG,PG,1,,MEL,abw,LE,10-Jan-2018,
abx,abx-Latn-PH,Inabaknon,Latn,PH,PH,,,SEA,abx,LE,12-Jan-2018,
aby,aby-Latn-PG,Aneme Wake,Latn,PG,PG,,,MEL,aby,LE,10-Jan-2018,
abz-Zyyy,abz-Zyyy-ID,Abui,Zyyy,ID,ID,,,SEA,abz,,,
aca,aca-Latn-CO,Achagua,Latn,CO,CO,,,SAM,aca,LE,9-Jan-2018,
acb-Zyyy,acb-Zyyy-NG,Áncá,Zyyy,NG,NG,,,WAF,acb,,,
acd,acd-Latn-GH,Gikyode,Latn,GH,GH,,,WAF,acd,LE,12-Jan-2018,
ace,ace-Latn-ID,Aceh,Latn,ID US,ID,,,NAM SEA,ace,CLDR,,
