ISO_639,Language_Name,Print_Name,In_Script,Romanization
aaa,Ghotuo,Ghotuọ,,
aae,"Albanian, Arbëreshë",Tarbrisht,,
aai,Miniafia Oyan,Miniafia,,
aak,Ankave,Aga pɨ'ne',,
aap,"Arara, Pará",Ugorongmo,,
aar,Afar,Qafar af,,
aat,"Albanian, Arvanitika",αρbε̰ρίσ̈τ,T,Arbërisht
aau,Abau,Abau,,
aaw,Solong,Solong,,
aaz,Amarasi,Amarasi,,
abc,"Ayta, Ambala",Ayta Ambala,,
abe,"Abenaki, Western",Alnôbak,,
abi,Abidji,Enyembe lɛɛ Ogbru,,
abk,Abkhaz,аҧсуа бызшәа,T,Aṗsua byzšwa
abk,Abkhaz,аҧсшәа,T,Aṗsšwa
abn,Abua,Abuan,,
abp,"Ayta, Abellen",Abellen,,
abp,"Ayta, Abellen",Ayta Abellen,,
abq,Abaza,абаза бызшва,T,Abaza byzšva
abq,Abaza,абаза,T,Abaza
abs,"Malay, Ambonese",Bahasa Malayu Ambon,,
abt,Ambulas,Abulas,,
abu,Abure,ɔbule ɔyʋɛ,,
abv,"Arabic, Baharna",البحرانية,T,al-bahrania
abx,Inabaknon,Inabaknon,,
aca,Achagua,Achagua,,
acd,Gikyode,Gikyode,,
ace,Aceh,Aceh,,
ace,Aceh,Bahsa Acèh,,
acf,Lesser Antillean French Creole,Kwéyòl,,
ach,Acholi,Leb Acholi,,
acm,"Arabic, Mesopotamian",اللهجة العراقية,T,allahjat aleiraqia
acn,Achang,Ngachang,,
acr,Achi,Qachʼaʼteem Achi,,
acr,Achi,Qachʼaʼteem,,
act,Achterhoeks,Achterhooks,,
acu,Achuar-Shiwiar,Achuár chícham,,
acx,"Arabic, Omani",عماني,T,ʿumāni
acy,"Arabic, Cypriot",Sanna,,
acz,Acheron,Garme,,
ada,Dangme,Dangme,,
add,Lidzonka,Lidzonka,,
ade,Adele,Gɩdɩrɛ,,
adh,Jopadhola,Dhopadhola,,
adi,Adi,Adi,,
adj,Adioukrou,Mↄjukru,,
adl,"Adi, Galo",Galo,,
ady,Adyghe,Адыгабзэ,T,Adəgăbză
ady,Adyghe,Кӏах Адыгабзэ,T,Kiakh Adəgăbză
adz,Adzera,Adzera,,
aeb,"Arabic, Tunisian",Derja,,
aeb,"Arabic, Tunisian",تونسي,T,Tounsi
aer,"Arrernte, Eastern",Arrernte,,
aeu,Akeu,Gaolkheel,,
aey,Amele,Amele,,
afb,"Arabic, Gulf",خليجي,T,Khaliji
afo,Ajiri,Ajiri,,
afr,Afrikaans,Afrikaans,,
afu,Awutu,Awutu,,
afz,Obokuitai,Obokuitai Ati,,
agd,Agarabi,Agarabi,,
age,Angal,Angal Heneng,,
agj,Argobba,ዓርጎባ,T,Argoba
agm,Angaataha,Aŋaataha,,
agn,Agutaynen,Agutaynen,,
ago,Tainae,Anka Panide,,
ago,Tainae,Tainae,,
agq,Aghem,Aghɨ̂m,,
agr,Awajún,Awajún,,
ags,Esimbi,Eshimbi,,
agt,"Agta, Central Cagayan",Agta,,
agu,Awakateko,Qa'yol,,
agx,Aghul,агъул чӀал,T,Ağul ҫ̇al
agx,Aghul,агъул,T,Aġul
agy,"Alta, Southern",Kabulowan,,
aha,Ahanta,Ayɩnda,,
ahk,Akha,Aˬ khaˬ dawˬ,,
ahl,Igo,Igo,,
ahr,Ahirani,अहिराणी,T,Ahirani
ahs,Ashe,Ishɛ,,
aia,Arosi,Arosi,,
aig,Leeward Caribbean English Creole,Creole,,
aii,Assyrian Neo-Aramaic,ܐܬܘܪܝܐ,T,Ātūrāyā
aii,Assyrian Neo-Aramaic,ܣܘܪܬ,T,Sūrët
aij,Inter-Zab Jewish Neo-Aramaic,לשנא דידן,T,Lišānā Dîdān
aij,Inter-Zab Jewish Neo-Aramaic,לשניד נשן,T,Lišānîd Nošān
aim,Aimol,Aimol,,
ain,Ainu,アイヌ イタㇰ,T,Aynu itak
aio,Aiton,ဢႝတွꩫ်,T,Aiton
aiq,Aimaq,ایماق,T,Imaq
aiw,Aari,አፋን፡ኣሪ፡,T,Áfan ārí
ajg,Aja,Ajagbe,,
aji,Ajië,Waawilûû,,
ajz,Amri Karbi,Amri Karbi,,
aka,Akan,Akan,,
ake,Akawaio,Kapon,,
akh,Angal Heneng,Angal Heneng,,
akl,Aklanon,Inakeanon,,
akp,Siwu,Siwu,,
akr,Soro-n Raki,Soro-n Raki,,
ala,Alago,Alago,,
ald,Alladian,Alladian,,
ale,Aleut,Unangam tunnu,,
alf,Elege,Elege,,
aln,"Albanian, Gheg",Gegnisht,,
alp,Alune,Alune,,
alq,Algonquin,Anicinàbemowin,,
als,"Albanian, Tosk",Shqip,,
alt,"Altai, Southern",алтай тили,T,Altay tili
alt,"Altai, Southern",алтайча,T,Altajča
alu,'Are'are,'Are'are,,
alx,Mol,Mol,,
aly,Alyawarr,Alyawarr,,
alz,Alur,Dho Alur,,
amc,Amahuaca,Yora,,
ame,Yanesha',Yaneshac̈h,,
amh,Amharic,ኣማርኛ,T,Amarəñña
ami,Amis,Amis,,
amk,Ambai,Ambai,,
amm,Sawiyanu,Sawiyanu,,
amn,Amanab,Awai,,
amo,Amo,Timap,,
amp,Alamblak,Alamblak,,
amr,Amarakaeri,Aratbuten huaʼa,,
