Lang_Id,likely_subtag,LangName,regions,variants,ROD,RODs,Macro,unwritten,obsolete,deprecated,areas,ISO 639-3,confirmed,Date modified,comments
aa,aa-Latn-ET,Afar,ET ER DJ,,,,,,,,EAF,aar,CLDR,,
aa-Arab,aa-Arab-ET,Afar,ET ER DJ,,,,,,,,EAF,aar,,,
aa-Ethi,aa-Ethi-ET,Afar,ET ER DJ,,,,,,,,EAF,aar,LE,10-Jan-2018,
aaa,aaa-Latn-NG,Ghotuo,NG,,,,,,,,WAF,aaa,,,
aab,aab-Latn-NG,Alumu-Tesu,NG,,,,,1,,,WAF,aab,,,
aac,aac-Latn-PG,Ari,PG,,,,,,,,MEL,aac,LE,10-Jan-2018,
aad,aad-Latn-PG,Amal,PG,,,,,1,,,MEL,aad,LE,10-Jan-2018,
aae,aae-Latn-IT,"Albanian, Arbëreshë",IT,,,06860 06861 06862 06863,,,,,SEU,aae,LE,9-Jan-2018,
aae-Grek,aae-Grek-IT,"Albanian, Arbëreshë",IT,,,06860 06861 06862 06863,,,1,,SEU,aae,LE,9-Jan-2018,
aae-x-sub84,aae-Latn-IT-x-sub84,"Albanian, Arbereshe",IT,,6861,,,,,,SEU,aae,,,
aaf,aaf-Zyyy-IN,Arabadan,IN,,,,,1,,,SAS,aaf,,,
aag,aag-Latn-PG,Ambrak,PG,,,,,1,,,MEL,aag,LE,10-Jan-2018,
aah,aah-Latn-PG,"Arapesh, Abu'",PG,,,,,,,,MEL,aah,LE,10-Jan-2018,
aai,aai-Latn-PG,Miniafia Oyan,PG,,,02416 02436,,,,,MEL,aai,LE,10-Jan-2018,
aai-x-northern-suboro,aai-Latn-PG-x-northern-suboro,Arifama-Miniafia,PG,,2436,,,,,,MEL,aai,,,
aai-x-suboro,aai-Latn-PG-x-suboro,Arifama-Miniafia,PG,,2416,,,,,,MEL,aai,,,
aak,aak-Latn-PG,Ankave,PG,,,,,,,,MEL,aak,LE,10-Jan-2018,
aal,aal-Latn-CM,Afade,CM NG,,,,,,,,MAF,aal,LE,12-Jan-2018,
aam,aam-Latn-TZ,Aasáx,TZ,,,,aas,1,,aas,EAF,aas,LE,9-Jan-2018,
aan,aan-Latn-BR,Anambé,BR,,,,,1,,,SAM,aan,LE,9-Jan-2018,
aao,aao-Arab-DZ,"Arabic, Algerian Saharan Spoken",DZ EG NE TN,,,,,,,,NAF WAF,aao,,,
aap,aap-Latn-BR,"Arára, Pará",BR,,,,,,,,SAM,aap,LE,9-Jan-2018,
aaq,aaq-Latn-US,"Abenaki, Eastern",US,,,,,1,,,NAM,aaq,LE,10-Jan-2018,Extinct
aas,aas-Latn-TZ,Aasáx,TZ,,,,,1,,,EAF,aas,LE,9-Jan-2018,
aat,aat-Grek-GR,"Albanian, Arvanitika",GR,,,06865 06866 06867,,,,,SEU,aat,LE,12-Jan-2018,
aau,aau-Latn-PG,Abau,PG,,,03752,,,,,MEL,aau,LE,10-Jan-2018,
aaw,aaw-Latn-PG,Solong,PG,,,,,,,,MEL,aaw,LE,10-Jan-2018,
aax,aax-Latn-ID,Mandobo Atas,ID,,,,,1,,,SEA,aax,,,
aaz,aaz-Latn-ID,Amarasi,ID,,,,,,,,SEA,aaz,LE,12-Jan-2018,
ab,ab-Cyrl-GE,Abkhaz,DE GE RU SY TR UA,,,,,,,,EEU,abk,CLDR,,
ab-Geor,ab-Geor-GE,Abkhaz,DE GE RU SY TR UA,,,,,,1,,EEU WAS WEU,abk,,,
ab-Latn,ab-Latn-TR,Abkhaz,TR,,,,,,,,EEU,abk,,,
aba,aba-Latn-CI,Abé,CI,,,06619 06620 06621 06622,,,,,WAF,aba,LE,12-Jan-2018,
abb,abb-Latn-CM,Bankon,CM,,,,,1,,,MAF,abb,,,
abc,abc-Latn-PH,"Ayta, Ambala",PH,,,,,,,,SEA,abc,LE,12-Jan-2018,
abd,abd-Latn-PH,Manide,PH,,,,,1,,,SEA,abd,,,
abe,abe-Latn-CA,"Abenaki, Western",CA US,,,,,,,,NAM,abe,LE,9-Jan-2018,
abf,abf-Latn-MY,Abai Sungai,MY,,,,,1,,,SEA,abf,,,
abg,abg-Latn-PG,Abaga,PG,,,,,1,,,MEL,abg,LE,10-Jan-2018,
abh,abh-Arab-TJ,"Arabic, Tajiki Spoken",AF TJ UZ,,,,,,,,CAS SAS,abh,LE,12-Jan-2018,
abi,abi-Latn-CI,Abidji,CI,,,06623 06624,,,,,WAF,abi,LE,12-Jan-2018,
abj-Zyyy,abj-Zyyy-IN,Aka-Bea,IN,,,,,,,,SAS,abj,,,Extinct
abl,abl-Rjng-ID,Lampung Nyo,ID,,,,,,,,SEA,abl,,,
abl-Latn,abl-Latn-ID,Lampung Nyo,ID,,,,,,,,SEA,abl,,,
abm,abm-Latn-NG,Abanyom,NG,,,,,1,,,WAF,abm,,,
abn,abn-Latn-NG,Abua,NG,,,,,,,,WAF,abn,LE,12-Jan-2018,
abo,abo-Latn-NG,Abon,NG,,,,,1,,,WAF,abo,,,
abp,abp-Latn-PH,"Ayta, Abellen",PH,,,,,,,,SEA,abp,LE,12-Jan-2018,
abq,abq-Cyrl-RU,Abaza,RU TR,,,,abq-Cyrl,,,,EEU WAS,abq,,,
abq-Latn,abq-Latn-TR,Abaza,RU TR,,,,,,,,EEU WAS,abq,,,
abr,abr-Latn-GH,Abron,CI GH,,,,,,,,WAF,abr,CLDR,,
abs,abs-Latn-ID,"Malay, Ambonese",ID NL US,,,19373,,,,,NAM SEA WEU,abs,LE,12-Jan-2018,
abt,abt-Latn-PG,Ambulas,PG,,,00440 00444 01235 01236 03053 03280 03282 04408 04730 06952,,,,,MEL,abt,LE,10-Jan-2018,
abt-x-maprik,abt-Latn-PG-x-maprik,Ambulas - Maprik,PG,,00444,00440 00444 01235 01236 03053 03280 03282 04408 04730 06952,,,,,MEL,abt,LE,,ROD is used in REAP
abt-x-woserak,abt-Latn-PG-x-woserak,Ambulas - Wosera Kamu,PG,,03053,00440 00444 01235 01236 03053 03280 03282 04408 04730 06952,,,,,MEL,abt,LE,,ROD is used in REAP
abu,abu-Latn-CI,Abure,CI,,,,,,,,WAF,abu,LE,12-Jan-2018,
abv,abv-Arab-BH,"Arabic, Baharna Spoken",BH OM,,,,,,,,WAS,abv,LE,12-Jan-2018,
abw,abw-Latn-PG,Pal,PG,,,,,1,,,MEL,abw,LE,10-Jan-2018,
abx,abx-Latn-PH,Inabaknon,PH,,,,,,,,SEA,abx,LE,12-Jan-2018,
aby,aby-Latn-PG,Aneme Wake,PG,,,,,,,,MEL,aby,LE,10-Jan-2018,
abz,abz-Latn-ID,Abui,ID,,,,,1,,,SEA,abz,,,
aca,aca-Latn-CO,Achagua,CO,,,,,,,,SAM,aca,LE,9-Jan-2018,
acb,acb-Latn-NG,Áncá,NG,,,,,1,,,WAF,acb,,,
acd,acd-Latn-GH,Gikyode,GH,,,,,,,,WAF,acd,LE,12-Jan-2018,
ace,ace-Latn-ID,Aceh,ID US,,,06651 06652 06653 06654 06655 06656 06657,,,,,NAM SEA,ace,CLDR,,
ace-Arab,ace-Arab-ID,Aceh,ID,,,,,,,,SEA,ace,,,
acf,acf-Latn-LC,Saint Lucian Creole French,DM FR GD GY LC MF MQ TT,,,,,,,,CAR SAM WEU,acf,LE,12-Jan-2018,
ach,ach-Latn-UG,Acholi,SS UG,,,06665 06667,,,,,EAF,ach,CLDR,,
aci-Zyyy,aci-Zyyy-IN,Aka-Cari,IN,,,,,,,,SAS,aci,,,Extinct
ack-Zyyy,ack-Zyyy-IN,Aka-Kora,IN,,,,,,,,SAS,ack,,,Extinct
acl-Zyyy,acl-Zyyy-IN,Akar-Bale,IN,,,,,,,,SAS,acl,,,Extinct
acm,acm-Arab-IQ,"Arabic, Mesopotamian Spoken",IQ IR JO NL SY TR,,,,,,,,SAS WAS,acm,LE,12-Jan-2018,
acn,acn-Latn-CN,Achang,CN MM,,,06294 06295 06658 06659 06660 18356,,,,,EAS SEA,acn,LE,12-Jan-2018,
acp,acp-Latn-NG,"Acipa, Eastern",NG,,,,,1,,,WAF,acp,,,
acq,acq-Arab-YE,"Arabic, Ta'izzi-Adeni Spoken",AE DJ EG ER KE LY OM SA SO YE,,,03354 03358 03364 03365,,,,,EAF NAF WAS,acq,LE,12-Jan-2018,
acr,acr-Latn-GT,Achi,GT,,,00448 02098,,,,,CAM,acr,LE,9-Jan-2018,
acr-x-cubulco,acr-Latn-GT-x-cubulco,Achi - Cubulco,GT,,02098,00448 02098,,,,,CAM,acr,LE,,
acr-x-rabinal,acr-Latn-GT-x-rabinal,Achi - Rabinal,GT,,00448,00448 02098,,,,,CAM,acr,,,
acs,acs-Latn-BR,Acroá,BR,,,,,1,,,SAM,acs,LE,10-Jan-2018,Extinct
act,act-Latn-NL,Achterhoeks,NL,,,,,,,,WEU,act,LE,12-Jan-2018,
acu,acu-Latn-EC,Achuar-Shiwiar,EC PE,,,,,,,,SAM,acu,LE,9-Jan-2018,
